見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「なつやすみの美術館7　すききらい、すき？きらい？」,展示,～9月18日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017-秋 特集「ＮＡＮＧＡ 俗を去り自ら娯しむ」,展示,9月20日?12月17日,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「アメリカへ渡った二人 国吉康雄と石垣栄太郎」,展示,10月7日?12月24日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「西行と明恵」  ,展示,9月9日?10月5日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,フカミンのおしゃべり考古学(3),イベント,9月13日13:30?15:00,,15歳以上,30人（先着順）,ハニワ350円 まが玉300円,当日受付,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて！！ヤマゲン先生(3)万葉歌と古代の草木花ガイド,イベント,9月24日10:00?12:00,,小学生以上,30人（先着順）,,9月8日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,秋期特別展「道が織りなす旅と文化」,展示,9月30日?11月26日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）, 特別展リレー講演(1),イベント,10月21日13:30?15:30,,小学生以上,30人（先着順）,,10月6日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,標本作品展 ,展示,9月16日?10月1日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,家族で体験 夜の水族館,イベント,10月7?8日,,3歳以上の子供とその家族,30人（抽選）,"2,000円（高校生以下1,500円）",9月23日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,9月16・23日、10月14日14:00?、10月7日11:00?,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,10月6日12:00?12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室 万葉学習セミナー 万葉集入門（全3回）,イベント,9月24日、10月22日、11月26日14:00?15:30,,18歳以上,各20人（先着順）,"全3回3,000円、1回ずつ1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,第7回「万葉観月の会＋わかふるコンサート」,イベント,10月1日18:00?20:00（観月の会18:00?[有料]、コンサート19:00?[無料]）,,：3歳以上 (未成年は保護者同伴),観月の会のみ30人（先着順）,観月の会のみ500円,事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉講座「古代の“和歌の浦と吹上浜”と現在の風景」,イベント,10月8日13:30?15:00,,18歳以上,30人（先着順）,500円,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,森のきのこ展,展示,９月16・17日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,キノコ観察会,イベント,9月17日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,黒潮愛蘭会・秋の展示会,展示,9月23・24日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,秋の小品盆栽展,展示,10月7?9日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,和歌山の木で作ろう（木工）,イベント,10月8日,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)9月1・10・24日(2)9月14日(3)9月22日11:00?,(1)県動物愛護センター(2)御坊保健所(3)東牟婁振興局（新宮市）,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,譲渡・ミルク・一時預かりボランティア募集説明会,イベント,(1)9月17日(2)20日(3)25日(4)27日(5)10月2日(6)4日13:30?14:30,：(1)県動物愛護センター(2)橋本保健所(3)有田振興局（湯浅町）(4)西牟婁振興局（田辺市）(5)御坊保健所 (6)東牟婁振興局（新宮市） ,,,,申込不要（手話通訳・要約筆記希望者は要予約）,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜, ＷＡＷフェスタin動物愛護週間,イベント,9月30日、10月1日10:30?16:00 ,,,,,,入場無料
